vicious walk 2D
dimesion ; levy exponent ; simulations ;Timesteps ; inidistance ;survive rate ; Std;Std over mean;
2;0.75;2000;1600;3;0.991;0.00463681;0.00467892;
2;0.75;2000;3200;3;0.987;0.00484768;0.00491153;
2;1.25;2000;400;3;0.952;0.0113358;0.0119073;
2;1.25;2000;800;3;0.9535;0.00463681;0.00486294

new try
;
2;1.5;2000;200;3;0.9325;0.0144049;0.0154476;
2;1.5;2000;400;3;0.912;0.0126886;0.0139129;
2;1.5;2000;800;3;0.919;0.00982344;0.0106893;
2;1.5;2000;1600;3;0.9285;0.00644205;0.00693813;
2;1.5;2000;3200;3;0.9145;0.00886002;0.00968838;
2;1.5;2000;6400;3;0.901;0.0114673;0.0127274;
2;2;2000;200;3;0.864;0.0134722;0.0155928;
2;2;2000;400;3;0.861;0.0111355;0.0129333;
2;2;2000;800;3;0.832;0.0148661;0.0178679;
2;2;2000;1600;3;0.8145;0.0160779;0.0197396;
2;2;2000;3200;3;0.808;0.0188016;0.0232693;
2;2;2000;6400;3;0.797;0.014;0.0175659;
2;2.5;2000;200;3;0.822;0.00913783;0.0111166;
2;2.5;2000;400;3;0.792;0.0116619;0.0147246;
2;2.5;2000;800;3;0.764;0.0105594;0.0138211;
2;2.5;2000;1600;3;0.734;0.019975;0.0272139;
2;2.5;2000;3200;3;0.719;0.0200375;0.0278685;
2;2.5;2000;6400;3;0.6825;0.0225832;0.0330889;
2;3;2000;200;3;0.8;0.0163554;0.0204443;
2;3;2000;400;3;0.752;0.0129808;0.0172616;
2;3;2000;800;3;0.726;0.0239583;0.0330004;
2;3;2000;1600;3;0.6765;0.0163248;0.0241313;
2;3;2000;3200;3;0.636;0.0158588;0.0249351;
2;3;2000;6400;3;0.629;0.0150499;0.0239267;
2;1.25;2000;200;3;0.957;0.012083;0.012626;
2;1.25;2000;400;3;0.952;0.0132665;0.0139354;
2;1.25;2000;800;3;0.9585;0.00644205;0.00672097
2;1.25;2000;1600;3;0.957;0.00812404;0.00848907;
2;1.25;2000;3200;3;0.955;0.00880341;0.00921823;
2;1.25;2000;6400;3;0.9335;0.00604152;0.0064719;

2;1.5;2000;400;3;0.9245;0.011;0.0118983;
2;1.5;2000;800;3;0.917;0.0174213;0.0189981;
2;1.5;2000;1600;3;0.914;0.013;0.0142232;


2;1.75;2000;200;3;0.894;0.0104403;0.0116782;
2;1.75;2000;400;3;0.8855;0.00578792;0.00653633;
2;1.75;2000;800;3;0.867;0.00367423;0.00423787;
2;1.75;2000;1600;3;0.883;0.0129808;0.0147007;
2;1.75;2000;3200;3;0.8695;0.0168375;0.0193645;
2;1.75;2000;6400;3;0.84;0.0165076;0.0196519;
2;2.25;2000;200;3;0.838;0.0131719;0.0157183;
2;2.25;2000;400;3;0.8025;0.0175357;0.0218513;
2;2.25;2000;800;3;0.796;0.0204695;0.0257154;
2;2.25;2000;1600;3;0.7775;0.0262202;0.0337238;
2;2.25;2000;3200;3;0.743;0.0190657;0.0256604;
2;2.25;2000;6400;3;0.7225;0.0136931;0.0189523;
2;2.75;2000;200;3;0.8;0.0232379;0.0290474;
2;2.75;2000;400;3;0.7785;0.0174356;0.0223964;
2;2.75;2000;800;3;0.737;0.0219886;0.0298353;
2;2.75;2000;1600;3;0.7075;0.0144049;0.0203602;
2;2.75;2000;3200;3;0.6895;0.0256125;0.0371465;
2;2.75;2000;6400;3;0.6405;0.0186682;0.0291462;
