vicious walk 2D
dimesion ; levy exponent ; simulations ;Timesteps ; inidistance ;survive rate ; Std;Std over mean;
2;2;2000;2000;8;0.8665;0.0143701;0.0165841;
2;2;2000;2000;2;0.699;0.0163248;0.0233545;
2;2;2000;2000;4;0.8145;0.00940744;0.01155;
2;2;2000;2000;6;0.8355;0.0118743;0.0142123;
2;2;2000;2000;2;0.7065;0.0105594;0.014946;
2;2;2000;2000;4;0.8025;0.0119373;0.0148752;
2;2;2000;2000;6;0.8325;0.00935414;0.0112362;
2;2;2000;2000;2.5;0.737;0.0279464;0.0379191;
2;2;2000;2000;3;0.759;0.0152151;0.0200463;

new try

2;1;2000;50;3;0.9715;0.003;0.00308801;
2;1;2000;100;3;0.968;0.00731437;0.00755617;
2;1;2000;200;3;0.9775;0.0065192;0.00666926;
2;1;2000;400;3;0.976;0.00254951;0.0026122;
2;1;2000;400;3;0.9745;0.0100499;0.0103129;
2;1;2000;800;3;0.98;0.005;0.00510204;
2;1;2000;800;3;0.976;0.00583095;0.00597434;
2;1;2000;1600;3;0.9685;0.00561249;0.00579503;
2;1;2000;1600;3;0.9755;0.00484768;0.00496943;
2;1;2000;3200;3;0.9755;0.00714143;0.00732079;
2;1.5;2000;50;3;0.9305;0.0137295;0.014755;
2;1.5;2000;100;3;0.924;0.0124097;0.0134304;
2;1.5;2000;200;3;0.9175;0.018097;0.0197242;
2;1.5;2000;400;3;0.906;0.0107935;0.0119134;
2;1;2000;3200;3;0.9725;0.00880341;0.00905235;
2;1.5;2000;50;3;0.9335;0.00514782;0.00551453;
2;1.5;2000;100;3;0.9335;0.00874643;0.0093695;
2;1.5;2000;200;3;0.925;0.0144914;0.0156664;
2;1.5;2000;400;3;0.9215;0.0139284;0.0151149;
2;1.5;2000;800;3;0.924;0.00784219;0.00848722;
2;1.5;2000;800;3;0.9295;0.0152807;0.0164397;
2;1.5;2000;1600;3;0.9205;0.0114455;0.012434;
2;1.5;2000;1600;3;0.923;0.0197737;0.0214233;
2;1.5;2000;3200;3;0.9095;0.011225;0.0123419;
2;2;2000;50;3;0.9065;0.0173638;0.0191547;
2;2;2000;100;3;0.886;0.0173638;0.0195979;
2;2;2000;200;3;0.8665;0.0144568;0.0166842;
2;2;2000;400;3;0.8515;0.0147139;0.01728;
2;2;2000;800;3;0.8455;0.0113358;0.0134072;
2;1.5;2000;3200;3;0.917;0.00533854;0.00582174;
2;2;2000;50;3;0.91;0.00987421;0.0108508;
2;2;2000;100;3;0.865;0.01;0.0115607;
2;2;2000;200;3;0.871;0.0197864;0.0227168;
2;2;2000;400;3;0.86;0.0157321;0.0182932;
2;2;2000;800;3;0.837;0.0181246;0.0216542;
2;2;2000;1600;3;0.8175;0.0125499;0.0153516;
2;2;2000;1600;3;0.8225;0.00790569;0.00961179;
2;2;2000;3200;3;0.812;0.0100499;0.0123767;
2;2.5;2000;50;3;0.8725;0.024135;0.0276619;
2;2.5;2000;100;3;0.85;0.00758288;0.00892103;
2;2.5;2000;200;3;0.8285;0.0193391;0.0233423;
2;2.5;2000;400;3;0.7905;0.016386;0.0207286;
2;2.5;2000;800;3;0.7745;0.00886002;0.0114397;
2;2;2000;3200;3;0.8135;0.0112472;0.0138257;
2;2.5;2000;50;3;0.8635;0.00845577;0.00979243;
2;2.5;2000;100;3;0.8535;0.0147139;0.0172395;
2;2.5;2000;200;3;0.804;0.00956556;0.0118975;
2;2.5;2000;400;3;0.7855;0.0129808;0.0165255;
2;2.5;2000;1600;3;0.742;0.016;0.0215633;
2;2.5;2000;800;3;0.7625;0.00758288;0.00994475;
2;2.5;2000;1600;3;0.7495;0.00857321;0.0114386;
2;2.5;2000;3200;3;0.7245;0.0224388;0.0309714;
2;2.5;2000;3200;3;0.7295;0.012083;0.0165635;
2;0.5;2000;50;3;0.9955;0.00244949;0.00246056;
2;0.5;2000;100;3;0.992;0.00509902;0.00514014;
2;0.5;2000;200;3;0.9925;0.00223607;0.00225297;

fix Total time step for calcualtion of Xmax

2;0.75;2000;100;3;0.9835;0.00514782;0.00523418;
2;0.75;2000;100;3;0.986;0.00463681;0.00470265;
2;0.75;2000;200;3;0.985;0.00316228;0.00321043;
2;0.75;2000;400;3;0.983;0.00367423;0.00373778;
2;0.75;2000;800;3;0.988;0.00291548;0.00295089;
